dealer_id,dealer_name,dealer_group,region,state,fulfillment_carrier,status,implementation_date,updated_at
1,Tampa Volkswagen,Great Lakes Auto Group,Midwest,MI,In-House Agency,active,2023-10-09,2025-12-31 12:00:00
2,Sacramento Honda,Sunbelt Motors,Midwest,WI,In-House Agency,active,2024-03-08,2025-12-31 12:00:00
3,Hartford Nissan,Sunbelt Motors,Midwest,WI,Carrier B (DCO),active,2023-07-23,2025-12-31 12:00:00
4,Newark Kia,Sunbelt Motors,West,CA,Carrier A (DCO),active,2023-06-13,2025-12-31 12:00:00
5,Nashville Hyundai,Independent,West,CA,Carrier B (DCO),active,2023-04-05,2025-12-31 12:00:00
6,Seattle Chevrolet,Independent,Midwest,IN,Carrier B (DCO),active,2024-07-03,2025-12-31 12:00:00
7,Austin GMC,Sunbelt Motors,West,NV,Carrier B (DCO),active,2023-07-16,2025-12-31 12:00:00
8,Dallas GMC,Pacific Crest Dealers,Midwest,OH,Carrier A (DCO),active,2023-04-14,2025-12-31 12:00:00
9,Sacramento Mazda,Sunbelt Motors,West,AZ,In-House Agency,active,2023-08-03,2025-12-31 12:00:00
10,Hartford Honda,Pacific Crest Dealers,South,FL,Carrier A (DCO),active,2024-04-18,2025-12-31 12:00:00
11,Sacramento Honda,Independent,South,TX,In-House Agency,active,2023-11-20,2025-12-31 12:00:00
12,Dallas Toyota,Pacific Crest Dealers,West,WA,Carrier A (DCO),active,2024-05-26,2025-12-31 12:00:00
13,Columbus Mazda,Heartland Automotive,South,TN,Carrier B (DCO),active,2024-07-05,2025-12-31 12:00:00
14,Austin Chevrolet,Sunbelt Motors,South,FL,In-House Agency,active,2024-06-05,2025-12-31 12:00:00
15,Seattle Mazda,Heartland Automotive,South,NC,In-House Agency,active,2024-09-02,2025-12-31 12:00:00
16,Cleveland GMC,Independent,West,NV,Carrier B (DCO),active,2023-01-12,2025-12-31 12:00:00
17,Dallas Ford,Pacific Crest Dealers,West,CA,In-House Agency,active,2023-10-28,2025-12-31 12:00:00
